name,price
Oatmeal,95
Avo & Hummus Toast,105
Berry Bliss French Toast,115
Sunrise Croissant,125
"Scrambled Egg, Avo & Toast",92
Salmon Benedict,175
Benedict Florentine,155
Low Carb Benedict,139
Classic Benedict,120
Berry Bliss Yogurt Bowl,119
Daybreak Brioche Roll,
Shift Breakfast,
Omelette 1,
Omelette 2,
Omelette 3,
Shift Cheeseburger,
Chicken Cheese Burger,
Crumbed Chicken Burger,
Vegan Cheese Burger,
Steak Roll,
Peri Peri Chicken Kebabs,
Salmon Bowl,
Chicken & Broccoli Bowl,
Harvest Chicken Salad,
Rustic Steak Salad,
Golden Dunked Schnitzel,
Asian Chicken Strips,
The Bacon (Bagel),
The Salmon (Bagel),
The Rockstar (Bagel),
The Club (Bagel),
Grilled Cheese,
Gypsy Ham & Grilled Cheese,
Chicken Mayo,
Bacon Egg & Cheese,
"Bacon, Avo & Feta",
Cheesy Chicken Mayo Tramezzini,
Sticky Steak Tramezzini,
Thyme Infused Bacon Tramezzini,
Chicken & Bacon Tramezzini,
Spicy Pumpkin Soup,
Mushroom Risotto,
Creamy Tomato Crunch,
Turkish Sunrise Eggs,
Tropical Sunrise Smoothie,
Golden Glow Smoothie,
Berry Bliss Smoothie,
Ginger Shot,
Green Juice,
Pineapple & Ginger Juice,
Orange & Carrot Juice,
Orange Juice,
Dirty Chai,
Italian Plumber,
Tomato crunch,
